date,open,high,low,close,volume
2020-05-11,603444,416.49,420.99,414.11,410.74
2020-05-12,603444,425.0,429.88,421.0,416.5
2020-05-13,603444,434.88,435.9,428.0,424.99
2020-05-14,603444,433.57,439.49,435.0,432.0
2020-05-15,603444,437.77,439.8,435.83,433.7
2020-05-18,603444,427.94,437.5,437.5,420.01
2020-05-19,603444,426.8,430.99,430.95,421.13
2020-05-20,603444,414.83,425.03,424.8,412.89
2020-05-21,603444,416.09,422.8,420.0,411.58
2020-05-22,603444,403.74,416.09,416.09,398.0
2020-05-25,603444,406.0,410.0,406.8,394.92
2020-05-26,603444,408.26,411.0,410.0,402.11
2020-05-27,603444,395.02,410.1,409.68,394.1
2020-05-28,603444,394.15,398.43,395.02,385.12
2020-05-29,603444,404.0,408.88,394.86,390.52
2020-06-01,603444,418.5,421.91,409.0,405.68
2020-06-02,603444,398.3,423.99,420.0,395.3
2020-06-03,603444,395.62,400.99,398.3,390.0
2020-06-04,603444,396.0,401.39,397.75,393.22
2020-06-05,603444,399.96,401.48,397.0,394.0
2020-06-08,603444,394.0,402.5,402.1,392.59
2020-06-09,603444,408.98,412.49,393.99,391.26
2020-06-10,603444,417.0,419.63,408.95,407.18
2020-06-11,603444,421.17,429.96,416.83,414.02
2020-06-12,603444,429.0,431.88,413.55,411.98
2020-06-15,603444,427.0,438.0,432.8,426.0
2020-06-16,603444,446.6,451.0,432.56,432.56
2020-06-17,603444,449.3,451.95,449.0,442.36
2020-06-18,603444,447.27,454.0,450.37,439.3
2020-06-19,603444,453.9,454.99,450.1,446.03
2020-06-22,603444,453.48,458.69,454.0,450.1
2020-06-23,603444,476.66,479.98,458.5,455.88
2020-06-24,603444,524.33,524.33,485.0,485.0
2020-06-29,603444,527.6,536.15,525.0,518.97
2020-06-30,603444,549.01,554.88,525.5,525.5
2020-07-01,603444,554.45,568.79,549.53,542.42
2020-07-02,603444,541.0,567.88,554.74,535.06
2020-07-03,603444,541.92,549.83,539.68,526.66
2020-07-06,603444,535.56,547.28,540.0,528.0
2020-07-07,603444,580.0,589.12,537.21,537.21
2020-07-08,603444,566.66,579.93,570.0,550.5
2020-07-09,603444,623.33,623.33,563.0,563.0
2020-07-10,603444,634.26,648.0,622.28,616.8
2020-07-13,603444,639.58,643.0,634.26,615.09
2020-07-14,603444,638.0,643.0,632.0,618.18
2020-07-15,603444,613.0,650.0,638.0,608.88
2020-07-16,603444,597.94,634.86,611.86,585.0
2020-07-17,603444,603.2,615.58,596.24,584.0
2020-07-20,603444,585.2,620.0,619.0,570.02
2020-07-21,603444,602.99,603.99,585.2,580.02
2020-07-22,603444,615.0,620.0,599.0,592.0
2020-07-23,603444,613.98,614.5,607.31,591.19
2020-07-24,603444,573.98,614.96,608.0,573.98
2020-07-27,603444,592.0,599.0,574.1,570.0
2020-07-28,603444,605.1,618.0,598.98,592.0
2020-07-29,603444,625.0,625.0,605.1,600.2
2020-07-30,603444,611.58,624.38,622.54,598.22
2020-07-31,603444,620.0,625.63,610.25,603.24
2020-08-03,603444,624.6,629.0,626.99,608.13
2020-08-04,603444,630.86,655.0,624.6,620.0
2020-08-05,603444,653.6,671.6,629.0,623.01
2020-08-06,603444,616.0,657.4,654.95,604.91
2020-08-07,603444,613.77,627.0,624.0,602.59
2020-08-10,603444,615.76,620.88,616.61,603.0
2020-08-11,603444,606.25,621.98,612.22,606.01
2020-08-12,603444,588.89,609.42,606.0,574.01
2020-08-13,603444,585.94,608.0,596.0,580.5
2020-08-14,603444,602.43,603.58,581.0,576.56
2020-08-17,603444,594.0,604.89,601.98,590.36
2020-08-18,603444,571.39,583.01,559.86,559.86
2020-08-19,603444,552.0,571.5,571.5,542.5
2020-08-20,603444,607.2,607.2,555.01,555.0
2020-08-21,603444,630.95,633.0,612.98,602.01
2020-08-24,603444,625.98,632.69,629.5,596.96
2020-08-25,603444,634.1,648.5,624.31,623.47
2020-08-26,603444,624.58,640.5,633.48,618.18
2020-08-27,603444,629.53,639.89,628.12,623.34
2020-08-28,603444,646.0,647.72,632.75,625.02
2020-08-31,603444,619.23,654.78,650.8,619.23
2020-09-01,603444,637.0,651.97,625.48,622.01
2020-09-02,603444,625.0,637.53,636.99,620.01
2020-09-03,603444,616.23,627.96,624.08,612.5
2020-09-04,603444,604.0,617.0,611.97,600.2
2020-09-07,603444,580.0,609.0,606.13,577.0
2020-09-08,603444,570.98,583.27,579.0,568.0
2020-09-09,603444,564.89,577.78,565.0,546.0
2020-09-10,603444,552.0,578.55,574.82,551.03
2020-09-11,603444,566.79,569.54,551.0,549.0
2020-09-14,603444,571.9,581.0,570.63,562.0
2020-09-15,603444,577.78,586.8,574.9,572.3
2020-09-16,603444,586.3,589.68,575.19,570.02
2020-09-17,603444,590.0,594.0,582.9,571.11
2020-09-18,603444,617.87,621.81,590.88,586.89
2020-09-21,603444,604.61,624.87,618.0,603.0
2020-09-22,603444,611.31,618.9,600.0,593.02
2020-09-23,603444,622.0,624.99,616.92,612.0
2020-09-24,603444,622.66,640.0,625.0,617.02
2020-09-25,603444,626.8,639.0,625.9,618.08
2020-09-28,603444,619.0,630.86,630.36,614.31
2020-09-29,603444,623.07,628.97,617.52,615.43
2020-09-30,603444,622.9,627.98,624.24,615.11
2020-10-09,603444,636.27,637.67,621.9,621.9
2020-10-12,603444,580.0,641.0,640.0,578.89
2020-10-13,603444,603.6,607.03,584.99,580.0
2020-10-14,603444,595.81,612.09,599.0,580.84
2020-10-15,603444,588.18,598.99,595.5,583.07
2020-10-16,603444,586.99,594.23,588.5,581.0
2020-10-19,603444,581.0,592.99,588.0,578.0
2020-10-20,603444,586.08,587.42,581.0,574.03
2020-10-21,603444,527.47,588.0,588.0,527.47
2020-10-22,603444,507.97,519.07,519.07,482.68
2020-10-23,603444,457.17,506.0,506.0,457.17
2020-10-26,603444,457.0,463.0,449.97,428.0
2020-10-27,603444,460.81,462.78,456.1,448.0
2020-10-28,603444,470.81,478.65,463.13,459.0
2020-10-29,603444,470.1,472.65,465.0,461.02
2020-10-30,603444,470.25,474.99,470.93,462.88
2020-11-02,603444,467.0,472.32,466.75,445.18
2020-11-03,603444,478.88,481.8,470.9,463.02
2020-11-04,603444,473.64,482.98,478.06,470.1
2020-11-05,603444,468.98,477.19,472.26,466.0
2020-11-06,603444,457.5,468.74,468.0,448.41
