trade_date,ts_code,name,close,p_change,rank,market_type,amount,net_amount,sh_amount,sh_net_amount,sh_buy,sh_sell,sz_amount,sz_net_amount,sz_buy,sz_sell
20241128,03690.HK,美团-W,172.2,-4.0,2,4,,,,,,,696221655.0,453450245.0,574835950.0,121385705.0
20241128,09988.HK,阿里巴巴-W,83.4,-1.6,1,4,,,,,,,885684265.0,182761325.0,534222795.0,351461470.0
20241128,06682.HK,第四范式,39.0,-4.75,10,2,,,445369230.0,56402090.0,250885660.0,194483570.0,,,,
20241128,00883.HK,中国海洋石油,17.04,-0.22,9,2,,,478807620.0,174959860.0,326883740.0,151923880.0,,,,
20241128,09926.HK,康方生物,73.5,-4.05,8,2,,,486362650.0,149063050.0,317712850.0,168649800.0,,,,
20241128,00981.HK,中芯国际,25.15,-0.55,7,2,,,498010825.0,80905275.0,289458050.0,208552775.0,,,,
20241128,00941.HK,中国移动,71.65,-0.35,6,2,,,510585450.0,345686350.0,428135900.0,82449550.0,,,,
20241128,03690.HK,美团-W,172.2,-4.0,5,2,,,539897138.0,95176902.0,317537020.0,222360118.0,,,,
20241128,00175.HK,吉利汽车,13.78,0.64,4,2,,,619169240.0,235534200.0,427351720.0,191817520.0,,,,
20241128,09988.HK,阿里巴巴-W,83.4,-1.6,3,2,,,718349645.0,378082975.0,548216310.0,170133335.0,,,,
20241128,01810.HK,小米集团-W,27.85,-0.45,2,2,,,772648260.0,-14640660.0,379003800.0,393644460.0,,,,
20241128,00700.HK,腾讯控股,400.0,-2.8,1,2,,,958863673.0,10463527.0,484663600.0,474200073.0,,,,
20241127,02498.HK,速腾聚创,18.88,2.0,10,4,,,,,,,318389587.0,81534397.0,199961992.0,118427595.0
20241127,09868.HK,小鹏汽车-W,46.2,1.8,9,4,,,,,,,328109190.0,-18576520.0,154766335.0,173342855.0
20241127,02318.HK,中国平安,45.85,1.4,8,4,,,,,,,334045900.0,273343100.0,303694500.0,30351400.0
20241127,02800.HK,盈富基金,19.76,0.49,7,4,,,,,,,414953825.0,-332502935.0,41225445.0,373728380.0
