ts_code,trade_date,adj_factor
688379.SH,20241202,1.029
688378.SH,20241202,2.977
688377.SH,20241202,1.034
688376.SH,20241202,1.013
688375.SH,20241202,1.5227
688373.SH,20241202,1.0
688372.SH,20241202,1.317
688371.SH,20241202,1.0
688370.SH,20241202,1.432
688369.SH,20241202,1.5411
688368.SH,20241202,1.444
688367.SH,20241202,1.0312
688366.SH,20241202,1.4477
688365.SH,20241202,1.003
688363.SH,20241202,1.021
688362.SH,20241202,1.003
688361.SH,20241202,1.0029
688360.SH,20241202,2.056
688359.SH,20241202,1.004
688358.SH,20241202,1.5319
688357.SH,20241202,1.79
688356.SH,20241202,1.024
688355.SH,20241202,1.0556
688353.SH,20241202,1.477
688352.SH,20241202,1.0119
688351.SH,20241202,1.0
688350.SH,20241202,1.078
688349.SH,20241202,1.037
688348.SH,20241202,2.0047
688347.SH,20241202,1.004
688345.SH,20241202,1.013
688343.SH,20241202,1.0
688339.SH,20241202,2.7438
688338.SH,20241202,1.341
688337.SH,20241202,1.518
688336.SH,20241202,1.0037
688335.SH,20241202,2.191
688334.SH,20241202,1.0266
688333.SH,20241202,2.756
688332.SH,20241202,1.033
688331.SH,20241202,1.0
688330.SH,20241202,1.4935
688329.SH,20241202,1.0495
688328.SH,20241202,1.0242
688327.SH,20241202,1.4
688326.SH,20241202,1.0
688325.SH,20241202,1.0063
688323.SH,20241202,1.006
688322.SH,20241202,1.0
688321.SH,20241202,1.0
688320.SH,20241202,1.009
688319.SH,20241202,1.004
688318.SH,20241202,2.8251
688317.SH,20241202,1.1143
688316.SH,20241202,1.0
688315.SH,20241202,1.007
688314.SH,20241202,1.465
688313.SH,20241202,1.007
688312.SH,20241202,1.092
688311.SH,20241202,1.41
688310.SH,20241202,2.12
688309.SH,20241202,1.013
688308.SH,20241202,1.463
688307.SH,20241202,1.0277
688306.SH,20241202,1.0
688305.SH,20241202,1.004
688303.SH,20241202,1.108
688302.SH,20241202,1.0
688301.SH,20241202,2.014
688300.SH,20241202,2.252
688299.SH,20241202,1.024
688298.SH,20241202,1.854
688297.SH,20241202,1.012
688296.SH,20241202,1.02
688295.SH,20241202,1.007
688293.SH,20241202,1.4369
688292.SH,20241202,1.01
688291.SH,20241202,1.013
688290.SH,20241202,1.2111
688289.SH,20241202,1.6724
688288.SH,20241202,1.019
688287.SH,20241202,1.5915
688286.SH,20241202,1.003
688285.SH,20241202,1.0246
688283.SH,20241202,1.4635
688282.SH,20241202,1.024
688281.SH,20241202,2.935
688280.SH,20241202,1.0
688279.SH,20241202,1.016
688278.SH,20241202,1.018
688277.SH,20241202,1.0
688276.SH,20241202,1.008
688275.SH,20241202,1.517
688273.SH,20241202,1.0833
688272.SH,20241202,1.004
688271.SH,20241202,1.0043
688270.SH,20241202,1.984
688269.SH,20241202,1.466
688268.SH,20241202,1.0285
688267.SH,20241202,1.028
688266.SH,20241202,1.0
688265.SH,20241202,1.0103
688262.SH,20241202,1.414
688261.SH,20241202,1.8422
688260.SH,20241202,1.005
688259.SH,20241202,1.4191
688258.SH,20241202,1.4167
688257.SH,20241202,2.0456
688256.SH,20241202,1.0
688255.SH,20241202,1.444
688253.SH,20241202,1.017
688252.SH,20241202,1.005
688251.SH,20241202,1.4704
688249.SH,20241202,1.0
688248.SH,20241202,1.0155
688247.SH,20241202,1.012
688246.SH,20241202,1.0
688244.SH,20241202,2.201
688239.SH,20241202,1.014
688238.SH,20241202,1.3
688237.SH,20241202,1.016
688236.SH,20241202,1.0548
688235.SH,20241202,1.0
688234.SH,20241202,1.0
688233.SH,20241202,1.016
688232.SH,20241202,1.045
688231.SH,20241202,1.0216
688230.SH,20241202,2.023
688229.SH,20241202,1.012
688228.SH,20241202,1.0339
688227.SH,20241202,1.012
688226.SH,20241202,1.03
688225.SH,20241202,1.008
688223.SH,20241202,1.035
688222.SH,20241202,1.011
688221.SH,20241202,1.0
688220.SH,20241202,1.0
688219.SH,20241202,1.0218
688218.SH,20241202,1.038
688217.SH,20241202,1.005
688216.SH,20241202,1.018
688215.SH,20241202,1.3217
688213.SH,20241202,1.0031
