ts_code,trade_date,suspend_timing,suspend_type
000666.SZ,19990616,,S
000417.SZ,19990616,,S
600701.SH,19990616,,S
000592.SZ,19990616,,S
000618.SZ,19990616,,S
000553.SZ,19990616,,S
000515.SZ,19990617,,S
600835.SH,19990617,,S
000508.SZ,19990617,,S
600820.SH,19990617,,S
600885.SH,19990618,,S
000607.SZ,19990618,,S
000544.SZ,19990618,,S
000590.SZ,19990618,,S
600622.SH,19990618,,S
000042.SZ,19990618,,S
600886.SH,19990618,,S
600692.SH,19990618,,S
600727.SH,19990618,,S
600693.SH,19990618,,S
600819.SH,19990618,,S
600754.SH,19990618,,S
000011.SZ,19990618,,S
000020.SZ,19990618,,S
000638.SZ,19990618,,S
600639.SH,19990618,,S
600089.SH,19990618,,S
000526.SZ,19990618,,S
000652.SZ,19990618,,S
000508.SZ,19990618,,S
600182.SH,19990618,,S
600722.SH,19990618,,S
600841.SH,19990618,,S
000653.SZ,19990618,,S
000782.SZ,19990618,,S
600705.SH,19990621,,S
600864.SH,19990621,,S
000802.SZ,19990621,,S
600607.SH,19990621,,S
600754.SH,19990621,,S
600803.SH,19990621,,S
600622.SH,19990621,,S
600799.SH,19990621,,S
000508.SZ,19990621,,S
000508.SZ,19990622,,S
000514.SZ,19990622,,S
600610.SH,19990622,,S
600695.SH,19990622,,S
000798.SZ,19990622,,S
600115.SH,19990622,,S
000801.SZ,19990622,,S
000655.SZ,19990622,,S
600720.SH,19990622,,S
600876.SH,19990622,,S
600863.SH,19990622,,S
000546.SZ,19990622,,S
000897.SZ,19990622,,S
600604.SH,19990623,,S
000008.SZ,19990623,,S
600853.SH,19990623,,S
000416.SZ,19990623,,S
600722.SH,19990623,,S
600716.SH,19990623,,S
000508.SZ,19990623,,S
600722.SH,19990624,,S
600791.SH,19990624,,S
000008.SZ,19990624,,S
000508.SZ,19990624,,S
000723.SZ,19990624,,S
600600.SH,19990624,,S
000423.SZ,19990624,,S
000793.SZ,19990625,,S
000809.SZ,19990625,,S
600832.SH,19990625,,S
600679.SH,19990625,,S
600685.SH,19990625,,S
001896.SZ,19990625,,S
600818.SH,19990625,,S
600848.SH,19990625,,S
600109.SH,19990625,,S
000593.SZ,19990625,,S
000420.SZ,19990625,,S
000838.SZ,19990625,,S
000702.SZ,19990625,,S
000013.SZ,19990625,,S
000540.SZ,19990625,,S
000868.SZ,19990625,,S
000088.SZ,19990625,,S
600627.SH,19990625,,S
600744.SH,19990625,,S
600895.SH,19990625,,S
600890.SH,19990625,,S
000002.SZ,19990625,,S
600218.SH,19990625,,S
600852.SH,19990625,,S
600080.SH,19990625,,S
600776.SH,19990625,,S
000508.SZ,19990625,,S
600880.SH,19990628,,S
000791.SZ,19990628,,S
600638.SH,19990628,,S
000009.SZ,19990628,,S
000588.SZ,19990628,,S
000524.SZ,19990628,,S
600613.SH,19990628,,S
000898.SZ,19990628,,S
000658.SZ,19990628,,S
600862.SH,19990628,,S
000404.SZ,19990628,,S
000632.SZ,19990628,,S
600707.SH,19990628,,S
600657.SH,19990628,,S
000881.SZ,19990628,,S
600658.SH,19990628,,S
000707.SZ,19990628,,S
000703.SZ,19990628,,S
600668.SH,19990628,,S
600717.SH,19990628,,S
600137.SH,19990628,,S
600794.SH,19990628,,S
600811.SH,19990628,,S
600680.SH,19990628,,S
600764.SH,19990628,,S
600135.SH,19990628,,S
000701.SZ,19990628,,S
600127.SH,19990628,,S
600786.SH,19990628,,S
000720.SZ,19990628,,S
000573.SZ,19990628,,S
600624.SH,19990628,,S
600635.SH,19990628,,S
600681.SH,19990628,,S
000408.SZ,19990628,,S
600787.SH,19990628,,S
600684.SH,19990628,,S
000508.SZ,19990628,,S
000751.SZ,19990628,,S
000602.SZ,19990628,,S
000903.SZ,19990628,,S
000736.SZ,19990628,,S
000695.SZ,19990628,,S
600839.SH,19990628,,S
000626.SZ,19990628,,S
000797.SZ,19990628,,S
600857.SH,19990628,,S
600670.SH,19990628,,S
000411.SZ,19990629,,S
000835.SZ,19990629,,S
600649.SH,19990629,,S
000805.SZ,19990629,,S
600687.SH,19990629,,S
600845.SH,19990629,,S
600898.SH,19990629,,S
000769.SZ,19990629,,S
600131.SH,19990629,,S
600615.SH,19990629,,S
600812.SH,19990629,,S
600628.SH,19990629,,S
600001.SH,19990629,,S
600673.SH,19990629,,S
600858.SH,19990629,,S
600838.SH,19990629,,S
600874.SH,19990629,,S
000839.SZ,19990629,,S
000413.SZ,19990629,,S
000570.SZ,19990629,,S
000555.SZ,19990629,,S
600171.SH,19990629,,S
001696.SZ,19990629,,S
600611.SH,19990629,,S
600762.SH,19990629,,S
000736.SZ,19990629,,S
600691.SH,19990629,,S
000899.SZ,19990629,,S
600635.SH,19990629,,S
000406.SZ,19990629,,S
600808.SH,19990629,,S
600640.SH,19990629,,S
600625.SH,19990629,,S
000025.SZ,19990629,,S
000508.SZ,19990629,,S
600833.SH,19990630,,S
600777.SH,19990630,,S
600770.SH,19990630,,S
000828.SZ,19990630,,S
600663.SH,19990630,,S
000617.SZ,19990630,,S
600633.SH,19990630,,S
600759.SH,19990630,,S
600758.SH,19990630,,S
000767.SZ,19990630,,S
000889.SZ,19990630,,S
