trade_date,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate
20240606,002120.SZ,韵达股份,-2.45,8.76,-326.78,-2.04,-4001511.0,-2.5,73.37,0.46,-192.84,-1.2,519.62,3.24
20240605,002120.SZ,韵达股份,-2.07,8.98,-493.03,-2.93,-495501.0,-0.29,-443.48,-2.63,162.19,0.96,330.84,1.96
20240604,002120.SZ,韵达股份,2.8,9.17,940.59,4.21,352771.0,0.16,905.31,4.05,296.68,1.33,-1237.27,-5.54
20240603,002120.SZ,韵达股份,0.45,8.92,323.32,2.05,-929418.0,-0.59,416.27,2.64,467.86,2.96,-791.18,-5.01
20240531,002120.SZ,韵达股份,-0.56,8.88,-475.68,-4.13,-3938670.0,-3.42,-81.82,-0.71,-384.39,-3.34,860.07,7.47
20240530,002120.SZ,韵达股份,-1.98,8.93,-1625.98,-10.08,-9463803.0,-5.86,-679.59,-4.21,292.86,1.81,1333.11,8.26
20240529,002120.SZ,韵达股份,1.9,9.11,-2181.62,-8.58,4547918.0,1.79,-2636.41,-10.37,-834.34,-3.28,3015.96,11.86
20240528,002120.SZ,韵达股份,-3.25,8.94,-4017.04,-11.75,-21544050.0,-6.3,-1862.64,-5.45,-2745.8,-8.03,6762.85,19.78
20240527,002120.SZ,韵达股份,-0.43,9.24,-683.54,-2.39,300472.0,0.11,-713.59,-2.5,213.16,0.75,470.38,1.65
20240524,002120.SZ,韵达股份,-0.64,9.28,-1478.24,-4.36,-5756275.0,-1.7,-902.61,-2.66,211.91,0.62,1266.33,3.73
20240523,002120.SZ,韵达股份,-1.06,9.34,-2714.71,-8.31,-1008165.0,-0.31,-2613.9,-8.0,53.03,0.16,2661.68,8.15
20240522,002120.SZ,韵达股份,0.75,9.44,-1435.41,-3.31,-4625174.0,-1.07,-972.9,-2.24,-49.82,-0.11,1485.23,3.42
20240521,002120.SZ,韵达股份,1.85,9.37,221.96,0.34,-2364039.0,-0.36,458.36,0.7,-636.0,-0.97,414.04,0.63
20240520,002120.SZ,韵达股份,-0.43,9.2,-3399.36,-4.46,-34328873.0,-4.5,33.53,0.04,2570.41,3.37,828.95,1.09
20240517,002120.SZ,韵达股份,10.0,9.24,13645.17,13.16,130822322.0,12.62,562.94,0.54,-5304.73,-5.12,-8340.44,-8.05
20240516,002120.SZ,韵达股份,2.56,8.4,2261.12,7.69,21671676.0,7.37,93.95,0.32,-1303.34,-4.43,-957.77,-3.26
20240515,002120.SZ,韵达股份,-2.15,8.19,114.74,0.69,1771430.0,1.06,-62.4,-0.37,776.02,4.66,-890.77,-5.35
20240514,002120.SZ,韵达股份,3.33,8.37,-642.97,-1.82,-25772923.0,-7.31,1934.32,5.49,2020.45,5.73,-1377.48,-3.91
20240513,002120.SZ,韵达股份,-0.61,8.1,-2498.1,-14.84,-13470818.0,-8.0,-1151.02,-6.84,-413.8,-2.46,2911.9,17.3
20240510,002120.SZ,韵达股份,-0.24,8.15,-1151.36,-7.41,-11439591.0,-7.36,-7.4,-0.05,528.37,3.4,622.98,4.01
20240509,002120.SZ,韵达股份,1.36,8.17,-3920.48,-13.29,-7815690.0,-2.65,-3138.91,-10.64,165.84,0.56,3754.64,12.73
20240508,002120.SZ,韵达股份,-1.47,8.06,5101.41,21.82,67974721.0,29.08,-1696.06,-7.26,-1845.19,-7.89,-3256.22,-13.93
20240507,002120.SZ,韵达股份,0.12,8.18,1874.67,8.22,19836860.0,8.7,-109.02,-0.48,161.94,0.71,-2036.61,-8.93
20240506,002120.SZ,韵达股份,4.08,8.17,2851.42,8.87,3988509.0,1.24,2452.57,7.63,-1934.31,-6.01,-917.11,-2.85
