trade_date,ts_code,name,pct_change,close,net_amount,net_amount_rate,buy_elg_amount,buy_elg_amount_rate,buy_lg_amount,buy_lg_amount_rate,buy_md_amount,buy_md_amount_rate,buy_sm_amount,buy_sm_amount_rate
20241113,835857.BJ,百甲科技,-3.15,8.31,-916.74,-10.92,-349.76,-4.17,-566.99,-6.76,-366.13,-4.36,55.32,0.66
20241113,835670.BJ,数字人,-1.36,19.58,-1341.25,-9.71,-174.48,-1.26,-1166.77,-8.44,-140.11,-1.01,250.39,1.81
20241113,835640.BJ,富士达,7.34,29.98,1270.29,5.81,935.1,4.28,335.2,1.53,487.63,2.23,-19.31,-0.09
20241113,835579.BJ,机科股份,3.09,23.69,-458.78,-4.04,271.57,2.39,-730.35,-6.44,355.63,3.13,302.4,2.67
20241113,835508.BJ,殷图网联,9.15,38.31,1672.38,9.22,835.97,4.61,836.41,4.61,-42.07,-0.23,-188.99,-1.04
20241113,835438.BJ,戈碧迦,-3.71,25.95,-2711.4,-9.4,-1453.15,-5.04,-1258.26,-4.36,-477.78,-1.66,-215.21,-0.75
20241113,835368.BJ,连城数控,-0.74,44.06,-1184.57,-5.92,252.2,1.26,-1436.77,-7.19,314.9,1.57,433.21,2.17
20241113,835305.BJ,云创数据,2.92,22.89,128.69,1.26,0.0,0.0,128.69,1.26,354.92,3.47,191.11,1.87
20241113,835237.BJ,力佳科技,16.97,31.84,1728.73,9.8,433.97,2.46,1294.76,7.34,576.53,3.27,19.84,0.11
20241113,835207.BJ,众诚科技,-0.15,20.49,-948.97,-10.75,0.0,0.0,-948.97,-10.75,-119.42,-1.35,93.04,1.05
20241113,835185.BJ,贝特瑞,3.69,28.4,360.98,1.39,617.87,2.38,-256.89,-0.99,677.85,2.62,170.68,0.66
20241113,835184.BJ,国源科技,2.85,16.24,-32.56,-0.39,89.38,1.06,-121.94,-1.45,33.96,0.4,235.52,2.8
20241113,835179.BJ,凯德石英,3.7,38.08,599.72,3.73,29.89,0.19,569.84,3.54,249.84,1.55,-25.04,-0.16
20241113,835174.BJ,五新隧装,3.21,28.94,191.76,2.31,-35.26,-0.42,227.02,2.73,343.4,4.13,32.65,0.39
20241113,834950.BJ,迅安科技,-1.6,21.51,-99.09,-3.08,162.48,5.05,-261.56,-8.14,-452.64,-14.08,-27.37,-0.85
20241113,834770.BJ,艾能聚,0.44,25.11,-780.19,-3.07,-178.33,-0.7,-601.86,-2.37,-512.68,-2.02,97.97,0.39
20241113,834765.BJ,美之高,-0.46,15.19,-101.13,-4.0,0.0,0.0,-101.13,-4.0,-76.82,-3.04,77.66,3.07
20241113,834682.BJ,球冠电缆,-1.46,10.14,-993.19,-13.76,-185.15,-2.57,-808.05,-11.2,-149.56,-2.07,98.4,1.36
20241113,834639.BJ,晨光电缆,-1.77,7.79,-402.55,-8.55,0.0,0.0,-402.55,-8.55,-797.2,-16.94,-35.6,-0.76
20241113,834599.BJ,同力股份,-2.03,15.91,-2893.59,-14.68,-576.22,-2.92,-2317.37,-11.76,418.09,2.12,278.8,1.41
20241113,834475.BJ,三友科技,1.36,13.37,18.09,0.47,0.0,0.0,18.09,0.47,90.04,2.32,-83.44,-2.15
20241113,834415.BJ,恒拓开源,8.51,24.48,1887.86,7.37,422.12,1.65,1465.75,5.72,430.54,1.68,85.99,0.34
20241113,834407.BJ,驰诚股份,2.05,17.44,-97.2,-4.63,0.0,0.0,-97.2,-4.63,-94.72,-4.51,75.06,3.57
20241113,834261.BJ,一诺威,1.28,11.84,-270.1,-7.28,0.0,0.0,-270.1,-7.28,-157.1,-4.23,162.6,4.38
20241113,834062.BJ,科润智控,-1.62,9.1,-758.75,-8.6,0.0,0.0,-758.75,-8.6,-707.62,-8.02,-187.65,-2.13
20241113,834058.BJ,华洋赛车,4.84,30.56,-221.71,-5.67,0.0,0.0,-221.71,-5.67,231.75,5.93,269.04,6.88
20241113,834033.BJ,康普化学,0.0,26.38,-350.95,-5.18,0.0,0.0,-350.95,-5.18,-136.29,-2.01,238.48,3.52
20241113,834021.BJ,流金科技,4.17,9.0,1572.84,7.04,647.37,2.9,925.46,4.14,41.11,0.18,-92.42,-0.41
20241113,834014.BJ,特瑞斯,-1.12,13.25,-260.37,-6.72,0.0,0.0,-260.37,-6.72,-231.15,-5.97,-104.04,-2.68
20241113,833943.BJ,优机股份,-1.95,16.62,-359.24,-5.61,124.55,1.94,-483.79,-7.55,94.3,1.47,21.74,0.34
20241113,833914.BJ,远航精密,-1.96,18.0,-917.43,-8.33,0.0,0.0,-917.43,-8.33,-779.9,-7.08,-88.56,-0.8
20241113,833873.BJ,中设咨询,-0.42,7.05,-842.97,-7.81,-107.07,-0.99,-735.9,-6.82,-159.62,-1.48,24.83,0.23
20241113,833819.BJ,颖泰生物,-2.22,4.4,-1200.98,-12.86,-452.48,-4.84,-748.5,-8.01,-289.77,-3.1,231.38,2.48
20241113,833781.BJ,瑞奇智造,0.21,9.61,-340.83,-5.62,-102.81,-1.7,-238.02,-3.93,-209.75,-3.46,123.9,2.04
20241113,833751.BJ,惠同新材,0.51,15.88,-244.11,-3.22,0.0,0.0,-244.11,-3.22,52.53,0.69,303.87,4.0
20241113,833580.BJ,科创新材,-1.55,14.63,-533.16,-5.19,89.46,0.87,-622.62,-6.06,-216.9,-2.11,249.54,2.43
20241113,833575.BJ,康乐卫士,-3.23,21.0,-1560.5,-14.84,-138.99,-1.32,-1421.51,-13.52,-653.66,-6.22,117.95,1.12
20241113,833533.BJ,骏创科技,-1.85,31.76,-437.32,-2.14,-77.56,-0.38,-359.77,-1.76,-516.37,-2.53,85.94,0.42
20241113,833523.BJ,德瑞锂电,2.99,28.27,-639.66,-4.21,228.22,1.5,-867.88,-5.72,356.38,2.35,326.2,2.15
20241113,833509.BJ,同惠电子,5.42,21.99,1258.98,6.25,452.66,2.25,806.33,4.0,133.15,0.66,7.39,0.04
20241113,833455.BJ,汇隆活塞,4.43,10.37,218.56,3.11,0.0,0.0,218.56,3.11,321.83,4.58,127.79,1.82
20241113,833454.BJ,同心传动,9.75,17.68,825.38,5.66,-0.41,0.0,825.79,5.66,637.41,4.37,131.49,0.9
20241113,833429.BJ,康比特,0.51,17.83,-404.5,-7.49,126.88,2.35,-531.38,-9.84,158.64,2.94,124.01,2.3
20241113,833427.BJ,华维设计,5.0,13.22,619.79,12.0,-105.75,-2.05,725.54,14.04,-111.98,-2.17,72.92,1.41
20241113,833394.BJ,民士达,0.59,25.55,-415.15,-4.1,110.81,1.09,-525.96,-5.19,-3.07,-0.03,251.71,2.48
20241113,833346.BJ,威贸电子,3.13,30.93,-49.37,-0.41,148.08,1.23,-197.45,-1.63,-33.05,-0.27,208.18,1.72
20241113,833284.BJ,灵鸽科技,30.0,16.12,11533.16,32.57,8892.07,25.11,2641.09,7.46,636.51,1.8,142.61,0.4
20241113,833266.BJ,生物谷,-4.42,12.33,-790.92,-11.52,-127.17,-1.85,-663.76,-9.67,-832.33,-12.12,-103.1,-1.5
20241113,833230.BJ,欧康医药,-7.24,21.9,-1251.46,-12.54,-237.22,-2.38,-1014.25,-10.17,-980.26,-9.83,32.33,0.32
20241113,833171.BJ,国航远洋,1.17,7.77,136.16,0.98,-101.74,-0.73,237.9,1.71,-124.46,-0.89,-101.38,-0.73
20241113,833075.BJ,柏星龙,4.47,26.9,1809.69,12.68,575.2,4.03,1234.49,8.65,37.8,0.26,-51.78,-0.36
