trade_date,ts_code,name,exchange
20241202,301502.SZ,华阳智能,SZSE
20241202,301500.SZ,飞南资源,SZSE
20241202,301499.SZ,维科精密,SZSE
20241202,301498.SZ,乖宝宠物,SZSE
20241202,301489.SZ,思泉新材,SZSE
20241202,301488.SZ,豪恩汽电,SZSE
20241202,301487.SZ,盟固利,SZSE
20241202,301486.SZ,致尚科技,SZSE
20241202,301469.SZ,恒达新材,SZSE
20241202,301468.SZ,博盈特焊,SZSE
20241202,301459.SZ,丰茂股份,SZSE
20241202,301456.SZ,盘古智能,SZSE
20241202,301448.SZ,开创电气,SZSE
20241202,301446.SZ,福事特,SZSE
20241202,301439.SZ,泓淋电力,SZSE
20241202,301429.SZ,森泰股份,SZSE
20241202,301428.SZ,世纪恒通,SZSE
20241202,301421.SZ,波长光电,SZSE
20241202,301419.SZ,阿莱德,SZSE
20241202,301418.SZ,协昌科技,SZSE
20241202,301413.SZ,安培龙,SZSE
20241202,301408.SZ,华人健康,SZSE
20241202,301399.SZ,英特科技,SZSE
20241202,301398.SZ,星源卓镁,SZSE
20241202,301397.SZ,溯联股份,SZSE
20241202,301396.SZ,宏景科技,SZSE
20241202,301395.SZ,仁信新材,SZSE
20241202,301393.SZ,昊帆生物,SZSE
20241202,301392.SZ,汇成真空,SZSE
20241202,301391.SZ,卡莱特,SZSE
20241202,301390.SZ,经纬股份,SZSE
20241202,301389.SZ,隆扬电子,SZSE
20241202,301388.SZ,欣灵电气,SZSE
20241202,301387.SZ,光大同创,SZSE
20241202,301386.SZ,未来电器,SZSE
20241202,301383.SZ,天键股份,SZSE
20241202,301382.SZ,蜂助手,SZSE
20241202,301381.SZ,赛维时代,SZSE
20241202,301380.SZ,挖金客,SZSE
20241202,301379.SZ,天山电子,SZSE
20241202,301378.SZ,通达海,SZSE
20241202,301377.SZ,鼎泰高科,SZSE
20241202,301376.SZ,致欧科技,SZSE
20241202,301373.SZ,凌玮科技,SZSE
20241202,301372.SZ,科净源,SZSE
20241202,301371.SZ,敷尔佳,SZSE
20241202,301370.SZ,国科恒泰,SZSE
20241202,301369.SZ,联动科技,SZSE
20241202,301368.SZ,丰立智能,SZSE
20241202,301367.SZ,怡和嘉业,SZSE
20241202,301366.SZ,一博科技,SZSE
20241202,301365.SZ,矩阵股份,SZSE
20241202,301363.SZ,美好医疗,SZSE
20241202,301362.SZ,民爆光电,SZSE
20241202,301361.SZ,众智科技,SZSE
20241202,301360.SZ,荣旗科技,SZSE
20241202,301359.SZ,东南电子,SZSE
20241202,301358.SZ,湖南裕能,SZSE
20241202,301357.SZ,北方长龙,SZSE
20241202,301356.SZ,天振股份,SZSE
20241202,301355.SZ,南王科技,SZSE
20241202,301353.SZ,普莱得,SZSE
20241202,301349.SZ,信德新材,SZSE
20241202,301348.SZ,蓝箭电子,SZSE
20241202,301345.SZ,涛涛车业,SZSE
20241202,301339.SZ,通行宝,SZSE
20241202,301338.SZ,凯格精机,SZSE
20241202,301337.SZ,亚华电子,SZSE
20241202,301336.SZ,趣睡科技,SZSE
20241202,301335.SZ,天元宠物,SZSE
20241202,301333.SZ,诺思格,SZSE
20241202,301332.SZ,德尔玛,SZSE
20241202,301331.SZ,恩威医药,SZSE
20241202,301330.SZ,熵基科技,SZSE
20241202,301329.SZ,信音电子,SZSE
20241202,301328.SZ,维峰电子,SZSE
20241202,301327.SZ,华宝新能,SZSE
20241202,301326.SZ,捷邦科技,SZSE
20241202,301325.SZ,曼恩斯特,SZSE
20241202,301323.SZ,新莱福,SZSE
20241202,301322.SZ,绿通科技,SZSE
20241202,301321.SZ,翰博高新,SZSE
20241202,301320.SZ,豪江智能,SZSE
20241202,301319.SZ,唯特偶,SZSE
20241202,301318.SZ,维海德,SZSE
20241202,301317.SZ,鑫磊股份,SZSE
20241202,301316.SZ,慧博云通,SZSE
20241202,301315.SZ,威士顿,SZSE
