trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
20240129,-1344.7,-1251.34,935.63,-1528.01,-592.38,-2596.04
20240126,3170.23,2152.8,1915.36,-405.32,1510.04,5323.03
20240125,552.59,1264.15,4834.23,1459.3,6293.53,1816.74
20240124,1712.75,268.08,900.77,-1439.72,-538.95,1980.83
20240123,-2477.37,-2842.45,2902.04,887.93,3789.97,-5319.82
20240122,1068.89,-412.72,738.54,308.85,1047.39,656.17
20240119,1115.1,-84.13,-149.52,-5059.09,-5208.61,1030.97
20240118,846.62,-262.05,1051.73,-1792.85,-741.12,584.57
20240117,4006.35,1927.27,-6372.43,-6684.21,-13056.64,5933.62
20240116,2419.39,525.48,169.07,-4302.2,-4133.13,2944.87
20240115,2434.5,1795.49,1749.88,-2104.64,-354.76,4229.99
20240112,874.84,593.22,352.05,-3383.81,-3031.76,1468.06
20240111,-2010.12,-3414.86,-211.41,4441.92,4230.51,-5424.98
20240110,1568.5,1000.91,256.96,432.69,689.65,2569.41
20240109,-1572.09,-2463.89,194.12,-175.36,18.76,-4035.98
20240108,-293.69,-1135.78,-1156.34,-3190.19,-4346.53,-1429.47
20240105,1259.43,347.21,1563.87,427.88,1991.75,1606.64
20240104,1775.93,374.59,-784.84,-3151.52,-3936.36,2150.52
20240103,3934.73,2881.52,2110.24,-421.19,1689.05,6816.25
20240102,2559.68,1293.95,-1118.83,-4150.56,-5269.39,3853.63
20231229,1645.69,235.5,-1689.26,1123.06,-566.2,1881.19
20231228,-1539.07,-426.13,6088.47,7469.96,13558.43,-1965.2
20231227,570.7,671.6,3723.97,1953.98,5677.95,1242.3
20231222,-2587.97,-1689.21,-428.62,-2082.36,-2510.98,-4277.18
20231221,1461.49,976.01,803.1,399.72,1202.82,2437.5
20231220,-4813.08,-6225.87,-140.43,-1401.74,-1542.17,-11038.95
20231219,1243.84,29.67,-1838.32,-274.36,-2112.68,1273.51
20231218,6314.63,5435.26,1470.22,1256.77,2726.99,11749.89
20231215,-1670.38,-2292.71,-3372.65,-792.91,-4165.56,-3963.09
20231214,-4785.46,-4912.77,1000.47,2462.29,3462.76,-9698.23
20231213,566.95,288.01,-5770.98,-3818.83,-9589.81,854.96
20231212,-852.62,-1845.05,-1828.99,-3194.94,-5023.93,-2697.67
20231211,2786.34,2807.72,-853.18,-2406.08,-3259.26,5594.06
20231208,2047.78,1320.97,-961.57,1421.53,459.96,3368.75
20231207,174.29,-1809.38,1226.15,-852.99,373.16,-1635.09
20231206,2666.9,2943.58,109.0,2232.76,2341.76,5610.48
20231205,2281.7,2280.01,-4894.1,-2626.57,-7520.67,4561.71
20231204,-212.85,-482.14,-398.03,-1042.8,-1440.83,-694.99
20231201,2988.73,2300.29,-4062.68,-934.59,-4997.27,5289.02
20231130,1198.54,522.5,6377.15,2139.16,8516.31,1721.04
20231129,650.72,-1468.61,-1984.39,-3095.61,-5080.0,-817.89
20231128,-1852.84,-1200.47,2350.68,483.78,2834.46,-3053.31
20231127,349.75,-2.02,1242.6,-908.58,334.02,347.73
20231124,4434.51,4292.07,-2178.56,-4017.42,-6195.98,8726.58
20231123,-3560.67,-2190.29,1929.2,3128.78,5057.98,-5750.96
20231122,2839.98,2323.01,-700.21,-2838.34,-3538.55,5162.99
20231121,-1934.47,-501.73,1451.31,-1309.03,142.28,-2436.2
20231120,-4307.36,-1800.68,1088.67,284.3,1372.97,-6108.04
20231117,1486.83,2253.14,-2048.17,-810.7,-2858.87,3739.97
20231116,2090.28,2249.05,-1604.66,-585.75,-2190.41,4339.33
20231115,-5072.2,-4473.83,2314.94,1310.71,3625.65,-9546.03
20231114,397.72,965.42,-1684.43,-424.86,-2109.29,1363.14
20231113,-366.57,-1621.69,-1159.84,-282.95,-1442.79,-1988.26
20231110,2578.96,1752.23,-3314.9,-1549.22,-4864.12,4331.19
20231109,2725.69,2314.85,2170.23,-2233.59,-63.36,5040.54
20231108,-359.19,-999.09,-1739.31,-1970.69,-3710.0,-1358.28
20231107,4711.13,4856.09,-2426.32,-2161.25,-4587.57,9567.22
20231106,-245.78,1080.99,-628.86,5901.86,5273.0,835.21
20231103,520.44,637.82,2803.92,4304.36,7108.28,1158.26
20231102,587.42,352.47,1959.4,722.34,2681.74,939.89
20231101,1573.37,661.13,362.32,-2444.57,-2082.25,2234.5
20231031,926.71,1008.76,-1464.26,-3289.13,-4753.39,1935.47
20231030,1324.4,922.71,-2794.31,396.7,-2397.61,2247.11
20231027,1661.2,750.28,1898.12,2769.91,4668.03,2411.48
20231026,1693.55,533.91,812.74,414.01,1226.75,2227.46
20231025,196.67,-247.87,60.43,-1355.63,-1295.2,-51.2
20231024,3553.04,-1227.89,-1687.82,-3357.75,-5045.57,2325.15
20231020,1525.33,342.99,637.24,-2283.46,-1646.22,1868.32
20231019,1438.63,353.71,-6973.24,-4731.03,-11704.27,1792.34
20231018,-2356.42,-1970.52,-2357.31,1196.67,-1160.64,-4326.94
20231017,-122.28,655.64,-889.71,-2167.79,-3057.5,533.36
20231016,2014.64,2042.36,-3726.96,-2749.98,-6476.94,4057.0
20231013,1887.15,2129.88,-3968.19,-2470.35,-6438.54,4017.03
20231012,-3759.44,-1723.87,4842.29,1773.46,6615.75,-5483.31
20231011,547.88,785.29,727.61,-1117.57,-389.96,1333.17
20231010,3682.32,2544.11,-4756.62,-714.65,-5471.27,6226.43
20231009,1050.97,991.58,-3589.1,-3871.13,-7460.23,2042.55
20230928,2407.49,1721.42,-2847.45,-2147.67,-4995.12,4128.91
20230927,1611.2,2070.81,1983.85,-180.63,1803.22,3682.01
20230926,-297.65,456.39,-2983.06,-3312.84,-6295.9,158.74
20230925,3217.61,2815.72,-4243.33,-3796.03,-8039.36,6033.33
20230922,-2442.91,-1784.68,3313.46,4179.43,7492.89,-4227.59
20230921,2225.01,1019.37,-2263.22,-2066.84,-4330.06,3244.38
20230920,1935.54,1263.89,-1372.22,-2167.57,-3539.79,3199.43
20230919,1723.86,1762.57,-506.82,-1916.05,-2422.87,3486.43
20230918,4580.18,4152.94,388.91,2440.26,2829.17,8733.12
20230915,54.92,1139.48,229.39,-2689.49,-2460.1,1194.4
20230914,1216.92,1395.22,-1514.89,-4903.33,-6418.22,2612.14
20230913,-1236.56,-530.52,-3250.6,-3341.35,-6591.95,-1767.08
20230912,3315.61,3413.67,-1151.63,-827.9,-1979.53,6729.28
20230911,-5059.78,-5196.68,1233.2,1010.71,2243.91,-10256.46
20230907,3959.03,3087.74,-3879.07,-3193.23,-7072.3,7046.77
20230906,2520.76,1647.23,-1760.83,1801.62,40.79,4167.99
20230905,6200.37,5798.0,-2816.92,-1792.2,-4609.12,11998.37
20230904,2497.84,1801.01,3825.94,3058.35,6884.29,4298.85
20230831,1712.73,1117.99,-2144.28,-2152.1,-4296.38,2830.72
20230830,2805.49,1785.31,-2150.03,-312.99,-2463.02,4590.8
20230829,1601.3,1304.99,-3396.23,2715.8,-680.43,2906.29
20230828,2542.08,1559.91,-4282.63,-3964.61,-8247.24,4101.99
20230825,1846.72,1539.26,-673.1,-1728.19,-2401.29,3385.98
20230824,2262.31,2183.95,952.72,2280.71,3233.43,4446.26
20230823,2547.95,573.63,-4620.33,-5840.98,-10461.31,3121.58
20230822,2503.7,-1769.22,-3958.87,-2419.18,-6378.05,734.48
20230821,4555.14,5009.58,-5431.76,-980.56,-6412.32,9564.72
20230818,783.68,-4874.85,-3723.1,-4798.79,-8521.89,-4091.17
20230817,4994.39,4943.44,-765.86,-752.68,-1518.54,9937.83
20230816,-400.15,-2642.9,-3920.63,-718.54,-4639.17,-3043.05
20230815,3278.07,3514.04,-3330.17,-6443.25,-9773.42,6792.11
20230814,4590.39,4254.03,-1986.13,-2677.08,-4663.21,8844.42
20230811,4737.11,2441.87,-5395.93,-6941.57,-12337.5,7178.98
20230810,615.03,1160.5,-1829.31,-769.32,-2598.63,1775.53
20230809,-1610.71,-5270.06,-1412.05,80.17,-1331.88,-6880.77
20230808,3340.78,3988.75,-3257.89,-3556.66,-6814.55,7329.53
20230807,2841.36,1594.87,1076.34,-3573.99,-2497.65,4436.23
20230804,-2197.09,-3539.44,115.81,2626.23,2742.04,-5736.53
20230803,1862.01,1559.28,534.34,9.03,543.37,3421.29
20230802,84.2,318.23,-3379.46,-1639.74,-5019.2,402.43
20230801,4126.67,5353.34,4817.9,36.39,4854.29,9480.01
20230731,-1779.79,-4181.03,3135.0,6211.77,9346.77,-5960.82
20230728,3718.86,3590.8,8381.88,8021.1,16402.98,7309.66
20230727,-1162.9,-2518.13,1611.51,2135.58,3747.09,-3681.03
20230726,3655.35,4128.02,951.25,-436.12,515.13,7783.37
20230725,-2082.36,-4038.19,9878.65,9104.76,18983.41,-6120.55
20230724,4790.15,5006.36,-659.44,-4483.12,-5142.56,9796.51
20230721,401.19,98.61,3992.79,1832.28,5825.07,499.8
20230720,-5884.48,-7949.07,-1084.39,1431.04,346.65,-13833.55
20230719,7502.33,8975.51,-3959.92,-971.59,-4931.51,16477.84
20230718,1346.83,-170.7,-4650.6,-4114.56,-8765.16,1176.13
20230714,-749.59,75.02,1177.02,-131.83,1045.19,-674.57
20230713,-1514.12,1187.19,6882.38,6702.26,13584.64,-326.93
20230712,-302.91,229.42,-267.11,761.67,494.56,-73.49
20230711,-1517.98,-560.89,1915.0,1574.09,3489.09,-2078.87
20230710,-1148.25,-50.0,1266.75,-36.45,1230.3,-1198.25
20230707,-1908.92,-2282.19,-2107.84,-2409.39,-4517.23,-4191.11
20230706,1991.36,1236.18,-2173.17,829.22,-1343.95,3227.54
20230705,4565.51,4675.24,-1158.34,-2876.69,-4035.03,9240.75
20230704,-614.52,1069.22,-1585.2,-364.31,-1949.51,454.7
20230703,-1876.58,-150.36,1866.7,818.68,2685.38,-2026.94
20230630,108.1,1556.72,-9.0,3684.25,3675.25,1664.82
20230629,-1379.61,-2208.96,-4641.34,-2964.7,-7606.04,-3588.57
20230628,3326.26,3983.02,-2582.88,-1488.75,-4071.63,7309.28
20230627,-4350.5,-3008.58,-58.43,-2537.69,-2596.12,-7359.08
20230626,1410.73,1782.61,-1730.26,3847.47,2117.21,3193.34
20230621,-1164.25,-2098.33,-76.56,-564.68,-641.24,-3262.58
20230620,-1935.5,-1017.63,913.47,828.44,1741.91,-2953.13
20230619,3485.1,3620.76,282.83,-1729.35,-1446.52,7105.86
20230616,-5316.66,-4309.45,4220.62,6324.92,10545.54,-9626.11
20230615,-3763.22,-3501.69,1913.61,7287.31,9200.92,-7264.91
20230614,673.6,875.88,-2413.34,218.95,-2194.39,1549.48
20230613,1489.72,1630.76,-353.25,121.78,-231.47,3120.48
20230612,2306.32,2257.98,-3746.39,816.78,-2929.61,4564.3
20230609,-808.83,-446.64,-412.51,-1028.4,-1440.91,-1255.47
20230608,2601.93,1445.94,888.18,2063.32,2951.5,4047.87
20230607,579.59,-338.55,1676.73,834.26,2510.99,241.04
20230606,-3626.22,-4503.73,519.03,-1596.48,-1077.45,-8129.95
20230605,5041.11,5844.3,485.1,-1699.92,-1214.82,10885.41
20230602,-275.84,-2149.54,3130.1,5404.3,8534.4,-2425.38
20230601,-1280.76,-2383.67,-3606.78,1805.22,-1801.56,-3664.43
20230531,25.03,-412.49,-1229.32,-2568.78,-3798.1,-387.46
20230530,776.51,626.88,-3187.36,3836.84,649.48,1403.39
20230529,-870.49,-960.56,357.3,1079.57,1436.87,-1831.05
20230525,3903.33,3301.68,-5074.53,-4487.0,-9561.53,7205.01
20230524,-1897.03,-1598.07,-1378.73,-3103.55,-4482.28,-3495.1
20230523,2994.92,2058.12,-2903.17,-5072.98,-7976.15,5053.04
20230522,-736.96,-1424.94,3468.68,663.23,4131.91,-2161.9
20230519,-744.6,-33.48,-2242.82,17.25,-2225.57,-778.08
20230518,1403.49,327.52,-937.62,-898.3,-1835.92,1731.01
20230517,3236.66,3541.56,574.28,1112.29,1686.57,6778.22
20230516,202.39,1206.86,147.12,-3547.91,-3400.79,1409.25
20230515,1030.09,622.59,1501.68,2583.15,4084.83,1652.68
20230512,179.63,-764.38,546.85,779.19,1326.04,-584.75
20230511,593.09,1511.66,-532.57,561.94,29.37,2104.75
