trade_date,ts_code,ts_name,buy_amount,sell_amount,net_amount,hm_name,hm_orgs
20241227,300941.SZ,创识科技,29042.0,23673171.0,-23644129.0,瑞鹤仙,中国银河证券股份有限公司宜昌新世纪证券营业部
20241227,000759.SZ,中百集团,34516430.0,16975024.0,17541406.0,玉兰路,东莞证券股份有限公司南京分公司
20241227,603777.SH,来伊份,4659571.0,0.0,4659571.0,玉兰路,东莞证券股份有限公司南京分公司
20241227,002265.SZ,建设工业,22347696.0,80549088.0,-58201392.0,玉兰路,东莞证券股份有限公司南京分公司
20241227,002577.SZ,雷柏科技,931966.0,4828051.0,-3896085.0,玉兰路,东莞证券股份有限公司南京分公司
20241227,603686.SH,福龙马,0.0,21281534.6,-21281534.6,玉兰路,东莞证券股份有限公司南京分公司
20241227,000880.SZ,潍柴重机,2145618.0,22716613.0,-20570995.0,玉兰路,东莞证券股份有限公司南京分公司
20241227,002730.SZ,电光科技,27326917.0,28991427.0,-1664510.0,玉兰路,东莞证券股份有限公司南京分公司
20241227,002055.SZ,得润电子,0.0,7323050.0,-7323050.0,炒股养家,华鑫证券有限责任公司上海宛平南路证券营业部
20241227,002137.SZ,实益达,33972602.0,175613.0,33796989.0,炒股养家,华鑫证券有限责任公司上海宛平南路证券营业部
20241227,603682.SH,锦和商管,11094846.0,0.0,11094846.0,炒股养家,华鑫证券有限责任公司上海新松江路证券营业部
20241227,603366.SH,日出东方,38481070.97,0.0,38481070.97,炒新一族,华泰证券股份有限公司上海武定路证券营业部
20241227,002137.SZ,实益达,142764.0,29171542.0,-29028778.0,湖滨四季,东亚前海证券有限责任公司苏州留园路证券营业部
20241227,603421.SH,鼎信通讯,68923596.2,16877940.95,52045655.25,湖滨四季,东亚前海证券有限责任公司苏州留园路证券营业部
20241227,300547.SZ,川环科技,43156880.0,0.0,43156880.0,湖滨四季,东亚前海证券有限责任公司苏州留园路证券营业部
20241227,000936.SZ,华西股份,28917346.0,925.0,28916421.0,湖州劳动路,华鑫证券有限责任公司南京清凉门大街证券营业部
