trade_date,ts_code,industry,name,close,pct_chg,amount,limit_amount,float_mv,total_mv,turnover_ratio,fd_amount,first_time,last_time,open_times,up_stat,limit_times,limit
20250102,603118.SH,通信设备,共进股份,9.79,10.0,1042357984.0,,7707436014.74,7707435956.0,13.88,98454681.0,105041,143544,2,1/1,1.0,U
20250102,603214.SH,商业百货,爱婴室,23.55,4.39,465593008.0,,3262617847.8,3262617847.8,13.92,,102617,,1,0/0,,Z
20250102,603215.SH,家电行业,比依股份,18.72,9.99,414193600.0,,1329728961.6,3528877229.28,33.09,68130316.0,144914,144914,0,2/4,1.0,U
20250102,603365.SH,纺织服装,水星家纺,16.73,3.27,109495051.0,,4317402355.0,4395531455.0,2.49,,95307,,1,0/0,,Z
20250102,603390.SH,汽车零部件,通达电气,11.62,5.83,515409296.0,,4064156179.3,4086428454.08,12.49,,93516,,2,0/0,,Z
20250102,603500.SH,交运设备,祥和实业,8.47,10.0,413552496.0,,2886544796.52,2911539461.6,14.4,12526155.0,93046,141243,8,1/1,1.0,U
20250102,603617.SH,通用设备,君禾股份,8.06,9.96,638028400.0,,3063455576.22,3148891632.64,21.65,102725707.0,92502,144226,1,2/2,2.0,U
20250102,603657.SH,家电行业,春光科技,15.42,-9.98,133559634.0,11017590.0,2084630571.0,2104048591.5,6.19,400920.0,,145134,0,,1.0,D
20250102,603662.SH,仪器仪表,柯力传感,69.68,7.86,3335549168.0,,19568225202.24,19626028664.32,17.23,,104941,,2,0/0,,Z
20250102,603682.SH,房地产服务,锦和商管,8.23,10.03,151322056.0,,3888675000.0,3888675000.0,3.97,69842825.0,93022,93022,0,3/5,2.0,U
20250102,603711.SH,食品饮料,香飘飘,17.36,5.85,530738000.0,,7156748536.0,7130547226.88,7.33,,94129,,1,0/0,,Z
20250102,603719.SH,食品饮料,良品铺子,15.63,9.99,551403776.0,,6267630000.0,6267630000.0,8.87,24407808.0,93508,135550,3,1/1,1.0,U
20250102,603777.SH,食品饮料,来伊份,16.96,9.99,301927856.0,,5689400039.68,5708055971.84,5.38,110558763.0,93025,93025,0,6/9,2.0,U
20250102,603808.SH,纺织服装,歌力思,7.4,5.87,128159642.0,,2731287297.2,2731287312.0,4.6,,95006,,1,0/0,,Z
20250102,603881.SH,互联网服,数据港,20.39,-9.98,2342129984.0,2434027579.0,12206422504.61,12206422606.56,18.68,374380.0,,150000,2,,1.0,D
20250102,603958.SH,纺织服装,哈森股份,16.01,-10.01,505655216.0,1818230084.0,3511953600.0,3511953600.0,14.01,4460386.0,,142920,12,,2.0,D
20250102,605033.SH,农药兽药,美邦股份,13.23,9.98,44323776.0,,1788696000.0,1788696000.0,2.52,62400618.0,102136,102136,0,1/1,1.0,U
20250102,605080.SH,纺织服装,浙江自然,25.85,10.0,322640576.0,,3659663084.0,3659663084.0,8.86,7522867.0,93049,143225,4,2/2,2.0,U
20250102,605136.SH,商业百货,丽人丽妆,9.25,7.18,478634384.0,,3704241125.0,3704241088.0,12.74,,93230,,5,0/0,,Z
20250102,605289.SH,装修装饰,罗曼股份,26.38,5.27,318817936.0,,2857943250.0,2891762410.0,11.06,,130404,,1,0/0,,Z
20250102,605299.SH,家用轻工,舒华体育,8.68,10.01,61282222.0,,3566867617.32,3573286989.44,1.76,65796092.0,105308,105308,0,1/1,1.0,U
20250102,605580.SH,电力行业,恒盛能源,11.16,0.72,248503265.0,,3124800000.0,3124800000.0,7.6,,93111,,1,1/2,,Z
