trade_date,data_type,ts_code,ts_name,rank,pct_change,current_price,hot,concept,rank_time,rank_reason
20241227,热股,002364.SZ,中恒电气,26,9.96,11.48,126412.0,"[""特高压"", ""虚拟电厂""]",2024-12-27 21:30:10,1、12月23日互动：为字节跳动租用的部分第三方数据中心提供电源产品及配电设备。\n2、公司致力于为数据中心、新能源车充换电、通信/电力网络等新型基础设施建设提供电气设备，为能源数字化/精细化管理、新能源开发利用提供专业技术服务。\n3、公司将站用交流电源系统、直流操作电源系统、逆变电源系统/UPS、通信电源系统进行统一设计、监控生产、调试、服务，形成智能变电站一体化电源系统；同时通过一体化监控模块将站用电源各子系统通信网络化，建立智能电源软件平台。公司2024年上半年营业收入同比增长19.06%，主要系数据中心电源产品营业收入同比增长43.84%。\n4、9月5日业绩说明会：公司是国内最早从事新能源汽车充电桩研发、生产的企业之一，也是国内充电桩设备主流厂家之一，产品端公司面向车端高压平台发展趋势继续重点发展超充产品，同时加强高效、高功率模块及液冷充电桩的研发。
20241227,港股,001860.HK,汇量科技,26,3.94,0.0,166836.0,,2024-12-27 21:30:05,
20241227,热基,015642.OF,银华数字经济股票发起式C,26,-0.95,1.3144,,,2024-12-27 21:30:06,
20241227,美股,TQQQ,纳斯达克100三倍做多,26,-0.21,0.0,73360.0,,2024-12-27 21:30:05,
20241227,热股,600579.SH,克劳斯,27,2.72,11.71,125692.0,"[""跨境电商"", ""新能源汽车""]",2024-12-27 21:30:10,
20241227,港股,002727.HK,上海电气,27,1.78,0.0,157593.0,,2024-12-27 21:30:05,
20241227,热基,006719.OF,国融融盛龙头严选混合C,27,4.0,2.0117,,,2024-12-27 21:30:06,
20241227,美股,MSTR,Microstrategy,27,-4.78,0.0,72362.0,,2024-12-27 21:30:05,
20241227,热股,600171.SH,上海贝岭,28,-4.02,43.19,125637.0,"[""汽车芯片"", ""MCU芯片""]",2024-12-27 21:30:10,
20241227,港股,009880.HK,优必选,28,3.99,0.0,153692.0,,2024-12-27 21:30:05,
20241227,热基,016387.OF,永赢低碳环保智选混合发起C,28,-0.1,0.8724,,,2024-12-27 21:30:06,
20241227,美股,TM,丰田汽车,28,8.78,0.0,72073.0,,2024-12-27 21:30:05,
20241227,热股,601456.SH,国联证券,29,7.13,14.28,119812.0,"[""互联网金融"", ""国企改革""]",2024-12-27 21:30:10,
20241227,港股,000883.HK,中国海洋石油,29,0.43,0.0,152777.0,,2024-12-27 21:30:05,
20241227,热基,014143.OF,银河创新混合C,29,-0.59,6.3931,,,2024-12-27 21:30:06,
20241227,美股,SOUN,SoundHound AI,29,19.71,0.0,69421.0,,2024-12-27 21:30:05,
20241227,热股,300059.SZ,东方财富,30,1.84,26.55,119372.0,"[""互联网金融"", ""期货概念""]",2024-12-27 21:30:10,
20241227,港股,006869.HK,长飞光纤光缆,30,14.92,0.0,139237.0,,2024-12-27 21:30:05,
20241227,热基,004926.OF,中航军民融合精选A,30,0.92,1.4181,,,2024-12-27 21:30:06,
20241227,美股,BAOS,宝盛,30,-37.75,0.0,67860.0,,2024-12-27 21:30:05,
20241227,热股,002067.SZ,景兴纸业,31,-2.83,4.47,117059.0,"[""长三角一体化"", ""一带一路""]",2024-12-27 21:30:11,
20241227,港股,006088.HK,鸿腾精密科技,31,17.76,0.0,138230.0,,2024-12-27 21:30:05,
20241227,热基,012414.OF,招商中证白酒指数C,31,0.11,0.8205,,,2024-12-27 21:30:06,
20241227,美股,OXY,西方石油,31,0.17,0.0,67098.0,,2024-12-27 21:30:05,
20241227,热股,600839.SH,四川长虹,32,-2.44,10.78,116751.0,"[""华为欧拉"", ""星闪概念""]",2024-12-27 21:30:11,
20241227,港股,002465.HK,龙蟠科技,32,8.13,0.0,135577.0,,2024-12-27 21:30:05,
